name,value,year,lastValue,rank
The Netherlands,152,1975,0,1
United Kingdom,138,1975,0,2
Italy,115,1975,0,3
France,91,1975,0,4
Luxembourg,84,1975,0,5
Switzerland,77,1975,0,6
Finland,74,1975,0,7
Sweden,72,1975,0,8
Ireland,68,1975,0,9
Spain,53,1975,0,10
Israel,40,1975,0,11
Malta,32,1975,0,12
Monaco,22,1975,0,13
Yugoslavia,22,1975,0,13
Belgium,17,1975,0,15
Portugal,16,1975,0,16
Germany,15,1975,0,17
Norway,11,1975,0,18
Turkey,3,1975,0,19
United Kingdom,302,1976,138,1
France,238,1976,91,2
The Netherlands,208,1976,152,3
Italy,184,1976,115,4
Switzerland,168,1976,77,5
Ireland,122,1976,68,6
Finland,118,1976,74,7
Israel,117,1976,40,8
Monaco,115,1976,22,9
Luxembourg,101,1976,84,10
Belgium,85,1976,17,11
Austria,80,1976,0,12
Spain,64,1976,53,13
Portugal,40,1976,16,14
Yugoslavia,32,1976,22,15
Germany,27,1976,15,16
Greece,20,1976,0,17
Norway,18,1976,11,18
United Kingdom,423,1977,302,1
France,374,1977,238,2
The Netherlands,243,1977,208,3
Ireland,241,1977,122,4
Switzerland,239,1977,168,5
Italy,217,1977,184,6
Monaco,211,1977,115,7
Finland,168,1977,118,8
Israel,166,1977,117,9
Belgium,154,1977,85,10
Luxembourg,118,1977,101,11
Spain,116,1977,64,12
Greece,112,1977,20,13
Austria,91,1977,80,14
Germany,82,1977,27,15
Sweden,74,1977,72,16
Portugal,58,1977,40,17
Norway,36,1977,18,18
France,493,1978,374,1
United Kingdom,484,1978,423,2
Ireland,327,1978,241,3
Israel,323,1978,166,4
Monaco,318,1978,211,5
Switzerland,304,1978,239,6
The Netherlands,280,1978,243,7
Belgium,279,1978,154,8
Italy,270,1978,217,9
Luxembourg,191,1978,118,10
Spain,181,1978,116,11
Greece,178,1978,112,12
Finland,170,1978,168,13
Germany,166,1978,82,14
Austria,105,1978,91,15
Sweden,100,1978,74,16
Portugal,63,1978,58,17
Norway,36,1978,36,18
Denmark,13,1978,0,19
Turkey,5,1978,3,20
France,599,1979,493,1
United Kingdom,557,1979,484,2
Israel,448,1979,323,3
Ireland,407,1979,327,4
Switzerland,364,1979,304,5
The Netherlands,331,1979,280,6
Monaco,330,1979,318,7
Italy,297,1979,270,8
Spain,297,1979,181,8
Belgium,284,1979,279,10
Germany,252,1979,166,11
Greece,247,1979,178,12
Luxembourg,235,1979,191,13
Finland,208,1979,170,14
Portugal,127,1979,63,15
Austria,110,1979,105,16
Sweden,108,1979,100,17
Norway,93,1979,36,18
Denmark,89,1979,13,19
United Kingdom,663,1980,557,1
France,644,1980,599,2
Ireland,550,1980,407,3
Switzerland,468,1980,364,4
The Netherlands,424,1980,331,5
Italy,384,1980,297,6
Germany,380,1980,252,7
Spain,335,1980,297,8
Belgium,298,1980,284,9
Luxembourg,291,1980,235,10
Greece,277,1980,247,11
Finland,214,1980,208,12
Portugal,198,1980,127,13
Austria,174,1980,110,14
Sweden,155,1980,108,15
Denmark,114,1980,89,16
Norway,108,1980,93,17
Turkey,28,1980,5,18
Morocco,7,1980,0,19
United Kingdom,799,1981,663,1
France,769,1981,644,2
Ireland,655,1981,550,3
Switzerland,589,1981,468,4
Germany,512,1981,380,5
Israel,504,1981,448,6
The Netherlands,475,1981,424,7
Spain,373,1981,335,8
Belgium,338,1981,298,9
Greece,332,1981,277,10
Luxembourg,332,1981,291,10
Finland,241,1981,214,12
Portugal,207,1981,198,13
Sweden,205,1981,155,14
Austria,194,1981,174,15
Denmark,155,1981,114,16
Norway,108,1981,108,17
Cyprus,69,1981,0,18
Yugoslavia,67,1981,32,19
Turkey,37,1981,28,20
United Kingdom,875,1982,799,1
Ireland,704,1982,655,2
Switzerland,686,1982,589,3
Germany,673,1982,512,4
Israel,604,1982,504,5
The Netherlands,483,1982,475,6
Belgium,434,1982,338,7
Spain,425,1982,373,8
Luxembourg,410,1982,332,9
Sweden,272,1982,205,10
Austria,251,1982,194,11
Finland,241,1982,241,12
Portugal,239,1982,207,13
Denmark,160,1982,155,14
Cyprus,154,1982,69,15
Norway,148,1982,108,16
Yugoslavia,88,1982,67,17
Turkey,57,1982,37,18
United Kingdom,954,1983,875,1
France,825,1983,769,2
Germany,767,1983,673,3
Israel,740,1983,604,4
Switzerland,714,1983,686,5
Luxembourg,552,1983,410,6
The Netherlands,549,1983,483,7
Belgium,447,1983,434,8
Italy,425,1983,384,9
Spain,425,1983,425,9
Sweden,398,1983,272,11
Greece,364,1983,332,12
Austria,304,1983,251,13
Finland,282,1983,241,14
Portugal,272,1983,239,15
Yugoslavia,213,1983,88,16
Norway,201,1983,148,17
Cyprus,180,1983,154,18
Denmark,176,1983,160,19
Turkey,57,1983,57,20
United Kingdom,1017,1984,954,1
France,886,1984,825,2
Ireland,841,1984,704,3
Germany,801,1984,767,4
Switzerland,744,1984,714,5
Luxembourg,591,1984,552,6
The Netherlands,583,1984,549,7
Sweden,543,1984,398,8
Spain,531,1984,425,9
Belgium,517,1984,447,10
Italy,495,1984,425,11
Finland,328,1984,282,12
Portugal,310,1984,272,13
Austria,309,1984,304,14
Denmark,277,1984,176,15
Yugoslavia,239,1984,213,16
Norway,230,1984,201,17
Cyprus,211,1984,180,18
Turkey,94,1984,57,19
United Kingdom,1117,1985,1017,1
France,942,1985,886,2
Ireland,932,1985,841,3
Germany,906,1985,801,4
Israel,833,1985,740,5
Switzerland,783,1985,744,6
Sweden,646,1985,543,7
Luxembourg,628,1985,591,8
Italy,573,1985,495,9
Spain,567,1985,531,10
Belgium,524,1985,517,11
Finland,386,1985,328,12
Greece,379,1985,364,13
Austria,369,1985,309,14
Norway,353,1985,230,15
Portugal,319,1985,310,16
Denmark,318,1985,277,17
Cyprus,226,1985,211,18
Turkey,130,1985,94,19
United Kingdom,1189,1986,1117,1
Ireland,1028,1986,932,2
Germany,968,1986,906,3
France,955,1986,942,4
Switzerland,923,1986,783,5
Israel,840,1986,833,6
Luxembourg,745,1986,628,7
Sweden,724,1986,646,8
Belgium,700,1986,524,9
The Netherlands,623,1986,583,10
Spain,618,1986,567,11
Finland,408,1986,386,12
Norway,397,1986,353,13
Denmark,395,1986,318,14
Austria,381,1986,369,15
Portugal,347,1986,319,16
Yugoslavia,288,1986,239,17
Cyprus,230,1986,226,18
Turkey,183,1986,130,19
Iceland,19,1986,0,20
United Kingdom,1236,1987,1189,1
Ireland,1200,1987,1028,2
Germany,1109,1987,968,3
France,999,1987,955,4
Switzerland,949,1987,923,5
Israel,913,1987,840,6
Sweden,774,1987,724,7
Belgium,756,1987,700,8
Luxembourg,749,1987,745,9
The Netherlands,706,1987,623,10
Italy,676,1987,573,11
Spain,628,1987,618,12
Denmark,478,1987,395,13
Norway,462,1987,397,14
Greece,443,1987,379,15
Finland,440,1987,408,16
Austria,389,1987,381,17
Yugoslavia,380,1987,288,18
Portugal,362,1987,347,19
Cyprus,310,1987,230,20
Turkey,183,1987,183,21
Iceland,47,1987,19,22
United Kingdom,1372,1988,1236,1
Ireland,1279,1988,1200,2
Germany,1157,1988,1109,3
Switzerland,1086,1988,949,4
France,1063,1988,999,5
Israel,998,1988,913,6
Luxembourg,839,1988,749,7
Sweden,826,1988,774,8
The Netherlands,776,1988,706,9
Belgium,761,1988,756,10
Italy,728,1988,676,11
Spain,686,1988,628,12
Denmark,570,1988,478,13
Norway,550,1988,462,14
Yugoslavia,467,1988,380,15
Greece,453,1988,443,16
Finland,443,1988,440,17
Austria,389,1988,389,18
Portugal,367,1988,362,19
Turkey,220,1988,183,20
Iceland,67,1988,47,21
United Kingdom,1502,1989,1372,1
Ireland,1300,1989,1279,2
Germany,1203,1989,1157,3
Switzerland,1133,1989,1086,4
France,1123,1989,1063,5
Israel,1048,1989,998,6
Sweden,936,1989,826,7
Luxembourg,847,1989,839,8
The Netherlands,821,1989,776,9
Italy,784,1989,728,10
Belgium,774,1989,761,11
Spain,774,1989,686,11
Denmark,681,1989,570,13
Yugoslavia,604,1989,467,14
Norway,580,1989,550,15
Finland,519,1989,443,16
Greece,509,1989,453,17
Austria,486,1989,389,18
Portugal,406,1989,367,19
Cyprus,361,1989,310,20
Turkey,225,1989,220,21
Iceland,67,1989,67,22
United Kingdom,1589,1990,1502,1
Ireland,1432,1990,1300,2
Germany,1263,1990,1203,3
France,1255,1990,1123,4
Switzerland,1184,1990,1133,5
Israel,1064,1990,1048,6
Sweden,960,1990,936,7
Italy,933,1990,784,8
Luxembourg,885,1990,847,9
Spain,870,1990,774,10
The Netherlands,846,1990,821,11
Belgium,820,1990,774,12
Denmark,745,1990,681,13
Yugoslavia,685,1990,604,14
Norway,588,1990,580,15
Austria,544,1990,486,16
Finland,527,1990,519,17
Greece,520,1990,509,18
Portugal,415,1990,406,19
Cyprus,397,1990,361,20
Turkey,246,1990,225,21
Iceland,191,1990,67,22
United Kingdom,1636,1991,1589,1
Ireland,1479,1991,1432,2
France,1401,1991,1255,3
Switzerland,1302,1991,1184,4
Germany,1273,1991,1263,5
Israel,1203,1991,1064,6
Sweden,1106,1991,960,7
Italy,1022,1991,933,8
Spain,989,1991,870,9
Luxembourg,914,1991,885,10
Belgium,843,1991,820,11
Denmark,753,1991,745,12
Yugoslavia,686,1991,685,13
Norway,602,1991,588,14
Greece,556,1991,520,15
Austria,544,1991,544,16
Finland,533,1991,527,17
Portugal,477,1991,415,18
Cyprus,457,1991,397,19
Turkey,290,1991,246,20
Iceland,217,1991,191,21
Malta,138,1991,32,22
United Kingdom,1775,1992,1636,1
Ireland,1634,1992,1479,2
France,1474,1992,1401,3
Switzerland,1334,1992,1302,4
Germany,1300,1992,1273,5
Israel,1288,1992,1203,6
Italy,1133,1992,1022,7
Sweden,1115,1992,1106,8
Spain,1026,1992,989,9
Luxembourg,924,1992,914,10
The Netherlands,913,1992,846,11
Belgium,854,1992,843,12
Denmark,800,1992,753,13
Yugoslavia,730,1992,686,14
Greece,650,1992,556,15
Norway,625,1992,602,16
Austria,607,1992,544,17
Finland,537,1992,533,18
Cyprus,514,1992,457,19
Portugal,503,1992,477,20
Turkey,307,1992,290,21
Iceland,297,1992,217,22
Malta,261,1992,138,23
United Kingdom,1939,1993,1775,1
Ireland,1821,1993,1634,2
France,1595,1993,1474,3
Switzerland,1482,1993,1334,4
Germany,1318,1993,1300,5
Israel,1292,1993,1288,6
Sweden,1204,1993,1115,7
Italy,1178,1993,1133,8
Spain,1084,1993,1026,9
The Netherlands,1005,1993,913,10
Luxembourg,935,1993,924,11
Belgium,857,1993,854,12
Denmark,809,1993,800,13
Norway,745,1993,625,14
Greece,714,1993,650,15
Austria,639,1993,607,16
Portugal,563,1993,503,17
Finland,557,1993,537,18
Cyprus,531,1993,514,19
Iceland,339,1993,297,20
Malta,330,1993,261,21
Turkey,317,1993,307,22
Croatia,31,1993,0,23
Bosnia & Herzegovina,27,1993,0,24
Slovenia,9,1993,0,25
Ireland,2047,1994,1821,1
United Kingdom,2002,1994,1939,2
France,1669,1994,1595,3
Switzerland,1497,1994,1482,4
Germany,1446,1994,1318,5
Sweden,1252,1994,1204,6
Spain,1101,1994,1084,7
The Netherlands,1009,1994,1005,8
Norway,821,1994,745,9
Greece,758,1994,714,10
Austria,658,1994,639,11
Portugal,636,1994,563,12
Cyprus,582,1994,531,13
Finland,568,1994,557,14
Malta,427,1994,330,15
Iceland,388,1994,339,16
Poland,166,1994,0,17
Hungary,122,1994,0,18
Russia,70,1994,0,19
Bosnia & Herzegovina,66,1994,27,20
Croatia,58,1994,31,21
Slovakia,15,1994,0,22
Romania,14,1994,0,23
Estonia,2,1994,0,24
Lithuania,0,1994,0,25
Ireland,2091,1995,2047,1
United Kingdom,2078,1995,2002,2
France,1763,1995,1669,3
Germany,1447,1995,1446,4
Israel,1373,1995,1292,5
Sweden,1352,1995,1252,6
Spain,1220,1995,1101,7
Norway,969,1995,821,8
Denmark,901,1995,809,9
Belgium,865,1995,857,10
Greece,826,1995,758,11
Austria,725,1995,658,12
Cyprus,661,1995,582,13
Portugal,641,1995,636,14
Malta,503,1995,427,15
Iceland,419,1995,388,16
Turkey,338,1995,317,17
Poland,181,1995,166,18
Croatia,149,1995,58,19
Hungary,125,1995,122,20
Slovenia,93,1995,9,21
Russia,87,1995,70,22
Bosnia & Herzegovina,80,1995,66,23
Ireland,2253,1996,2091,1
United Kingdom,2155,1996,2078,2
France,1781,1996,1763,3
Switzerland,1519,1996,1497,4
Sweden,1452,1996,1352,5
